,categoria,subcategoria,prestacion,tipo_prestacion,fecha_ingreso,hora_ingreso,domicilio_comuna,domicilio_barrio,domiclio_calle,domicilio_altura,lat,lon,canal,genero,estado_del_contacto,fecha_cierre_contacto,hora_cierre_contacto
5016,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",DERRAME DE LÍQUIDOS PELIGROSOS / INDUSTRIALES,Denuncia,2021-12-22,08:44:47,8,VILLA LUGANO,,2882.0,-34.6642552497895,-58.4835519866185,GCS Web,Femenino,Abierto,,
5017,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",RUIDOS MOLESTOS Y VIBRACIONES,Denuncia,2021-12-22,23:25:12,13,NUÑEZ,,1810.0,-34.5437380503748,-58.46426684736429,GCS Web,Femenino,Abierto,,
5018,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",RUIDOS MOLESTOS Y VIBRACIONES,Denuncia,2021-12-22,23:32:21,14,PALERMO,,2573.0,-34.5801285114434,-58.4264706440862,App BA 147,Masculino,Abierto,,
5019,CALLES Y VEREDAS,OTROS,AJUSTE DE CHAPA METÁLICA POR RUIDOS MOLESTOS EN CALLE,Solicitud,2021-12-22,12:05:06,12,VILLA URQUIZA,,5000.0,-34.5714951375207,-58.487212469766206,GCS Web,Masculino,Abierto,,
5020,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",RUIDOS MOLESTOS Y VIBRACIONES,Denuncia,2021-12-22,19:54:42,3,BALVANERA,,2530.0,-34.6075271419934,-58.402424873090894,App BA 147,Masculino,Abierto,,
5021,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",RUIDOS MOLESTOS Y VIBRACIONES,Denuncia,2021-12-23,22:15:32,4,BOCA,,511.0,-34.6335297366926,-58.36750943397511,App BA 147,Femenino,Cerrado,27/12/2021,00:00:00
5022,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",RUIDOS MOLESTOS Y VIBRACIONES,Denuncia,2021-12-23,07:58:11,15,CHACARITA,,640.0,-34.5848601430718,-58.454368962421206,App BA 147,Femenino,Abierto,,
5023,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",RUIDOS MOLESTOS Y VIBRACIONES,Denuncia,2021-12-23,00:51:17,12,VILLA URQUIZA,,,-34.5717093226694,-58.4775796249242,GCS Web,Masculino,Abierto,,
5024,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",RUIDOS MOLESTOS Y VIBRACIONES,Denuncia,2021-12-23,00:55:07,14,PALERMO,,3711.0,-34.5879708382696,-58.414737393373,App BA 147,Femenino,Abierto,,
5025,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",RUIDOS MOLESTOS Y VIBRACIONES,Denuncia,2021-12-23,04:31:24,1,MONSERRAT,,299.0,-34.6157976740463,-58.37031691269689,GCS Web,Femenino,Abierto,,
